Connecting...
Successfully Connected to DB!
Fetching Data...
-----------------------------
Milk 2 2522.3333333333335 4583.0
Cookies 6 2348.5 2500.0
Fruits 4 1329.5 1483.5
Pepsi 4 2538.0 NaN
Fruits 2 1904.0 NaN
Yogurt 1 3488.25 NaN
Butter 4 2116.5 1432.0
Bread 10 2744.8 2744.8
Bread 7 3073.0 3197.0
Bread 2 2422.0 NaN
Yogurt 8 2785.0 3228.5
Cookies 7 2545.5 2557.5
Eggs 2 3592.6666666666665 NaN
Butter 2 1968.25 NaN
Fruits 3 1383.25 442.0
Eggs 7 4165.4 3799.6666666666665
Soap 11 1966.2 1966.2
Milk 1 1036.6666666666667 NaN
Milk 12 2176.3333333333335 2176.3333333333335
Butter 7 1361.5 1135.5
Soap 6 2181.1666666666665 1216.0
Butter 12 1571.5 1571.5
Eggs 11 3532.5 3532.5
Cookies 2 2377.25 NaN
Butter 10 2287.25 2043.3333333333333
Yogurt 9 3683.0 3788.6666666666665
Coke 6 2408.0 1634.6666666666667
Soap 4 2278.1666666666665 NaN
Eggs 5 3751.0 4018.0
Coke 5 2381.5 1042.5
Yogurt 3 2922.0 2096.0
Coke 12 2075.2 2075.2
Coke 2 3004.6 NaN
Cookies 10 2969.25 2314.0
Bread 9 2595.2 2615.75
Coke 8 2382.6666666666665 1891.0
Soap 9 1738.2 1212.3333333333333
Pepsi 12 3609.0 3609.0
Bread 3 2792.0 4127.0
Yogurt 10 3170.75 3170.75
Bread 6 2610.0 3202.0
Fruits 7 1902.3333333333333 1902.3333333333333
Cookies 12 1768.5 1768.5
Soap 7 2377.0 1507.0
Milk 5 1957.6666666666667 2354.5
Eggs 4 3691.0 4313.0
Eggs 8 3519.1666666666665 3288.2
